Age,Gender,Race,Education,WorkClass,Occupation,MaritalStatus,HoursPerWeek,CapitalGain,CapitalLoss,NativeCountry,IncomeClass
36,Male,White,Some College,Private,Blue Collar,Married,35,0,375,USA,1
43,Female,Black,Associate,Private,Tech,Married,59,0,0,Germany,0
51,Other,White,HS Grad,Private,Healthcare,Married,52,0,1227,USA,0
34,Female,White,HS Grad,Unemployed,Sales,Single,0,2263,0,Mexico,0
37,Male,White,Some College,Private,Sales,Single,45,0,0,USA,1
26,Female,White,No HS,Private,Tech,Married,47,0,0,Other,0
25,Male,White,Some College,Private,Clerical,Single,43,0,0,USA,1
49,Male,White,Some College,Private,Tech,Married,36,0,0,Other,1
56,Male,Other,Some College,Private,Blue Collar,Divorced,31,0,0,USA,1
39,Female,Black,HS Grad,Private,Healthcare,Single,45,0,0,USA,0
52,Female,White,No HS,Private,Tech,Single,31,0,0,USA,0
44,Male,White,No HS,Private,Education,Married,39,0,0,USA,1
32,Female,Black,No HS,Self-Employed,Clerical,Divorced,41,2822,0,USA,0
44,Female,Black,Some College,Unemployed,Education,Single,0,0,806,USA,0
58,Male,White,Some College,Private,Sales,Single,36,0,0,USA,0
39,Other,White,HS Grad,Government,Sales,Married,28,0,0,USA,1
58,Male,White,HS Grad,Government,Blue Collar,Single,34,0,0,Other,0
18,Male,White,Some College,Private,Sales,Single,50,0,269,China,1
49,Male,Hispanic,No HS,Private,Sales,Married,24,0,0,USA,0
41,Male,White,HS Grad,Private,Healthcare,Married,32,6000,0,Canada,0
36,Female,White,Some College,Private,Tech,Divorced,37,0,0,Mexico,1
41,Female,White,No HS,Private,Healthcare,Married,38,0,418,USA,1
18,Male,White,Bachelor's,Private,Education,Single,26,9547,1396,USA,1
37,Other,White,Associate,Private,Blue Collar,Married,31,0,0,USA,1
44,Female,White,Some College,Private,Education,Single,43,0,0,USA,1
57,Other,White,HS Grad,Private,Sales,Married,32,0,561,China,1
33,Male,White,HS Grad,Private,Management,Single,53,0,0,USA,0
30,Male,Hispanic,HS Grad,Private,Education,Married,44,3033,0,Mexico,1
33,Male,White,HS Grad,Private,Healthcare,Married,20,0,0,USA,1
50,Female,White,Some College,Private,Tech,Married,41,0,1610,USA,1
43,Other,White,HS Grad,Private,Education,Married,32,0,0,USA,1
33,Female,Black,Bachelor's,Private,Sales,Married,53,2601,0,USA,1
46,Other,Black,Master's,Private,Education,Single,28,0,0,China,1
41,Female,White,Associate,Self-Employed,Education,Married,42,0,0,USA,1
51,Male,Hispanic,Bachelor's,Government,Management,Divorced,26,0,0,USA,1
31,Female,White,HS Grad,Self-Employed,Education,Married,51,0,0,USA,1
36,Female,White,Associate,Self-Employed,Education,Married,36,0,397,USA,0
35,Female,White,No HS,Private,Education,Married,47,3978,158,USA,1
22,Female,White,Master's,Government,Education,Single,38,7849,0,USA,1
43,Male,Asian,Associate,Private,Management,Married,46,0,0,Canada,0
43,Male,White,Some College,Private,Management,Married,42,0,0,USA,1
40,Other,Other,Bachelor's,Private,Clerical,Single,38,7313,0,Canada,1
37,Male,Black,No HS,Private,Healthcare,Single,29,0,0,Canada,0
23,Female,White,Some College,Private,Blue Collar,Married,39,0,0,USA,0
34,Female,White,Bachelor's,Private,Sales,Widowed,32,0,0,India,1
35,Female,White,HS Grad,Private,Education,Married,30,0,0,Canada,1
30,Male,Black,Associate,Private,Blue Collar,Single,36,18234,0,USA,1
38,Female,White,Some College,Self-Employed,Education,Single,45,0,0,Other,1
44,Female,White,Some College,Private,Sales,Single,47,2458,0,USA,1
62,Male,White,Associate,Government,Blue Collar,Married,28,0,2389,UK,0
42,Female,White,Master's,Private,Management,Single,51,0,0,USA,1
43,Male,White,HS Grad,Private,Blue Collar,Married,30,2769,0,Mexico,0
39,Female,White,HS Grad,Government,Clerical,Married,43,0,0,China,1
18,Female,Asian,Some College,Private,Clerical,Single,36,0,0,USA,1
39,Other,Other,Associate,Private,Clerical,Married,43,0,0,Mexico,0
40,Male,White,Some College,Unemployed,Sales,Single,0,0,0,USA,0
69,Male,White,Bachelor's,Private,Healthcare,Widowed,37,0,236,India,1
37,Other,Black,Bachelor's,Private,Clerical,Divorced,41,17749,0,China,1
43,Female,Hispanic,Some College,Government,Healthcare,Single,51,0,0,USA,1
39,Male,Other,No HS,Private,Tech,Single,48,0,0,USA,0
25,Male,White,HS Grad,Private,Blue Collar,Married,34,0,1541,USA,0
53,Female,White,Some College,Self-Employed,Tech,Single,29,0,0,Other,0
49,Female,White,Master's,Private,Sales,Married,40,0,0,Canada,1
49,Female,White,Some College,Private,Tech,Married,47,0,0,USA,0
29,Female,Asian,Some College,Government,Clerical,Married,28,0,0,Other,1
56,Male,White,Associate,Private,Clerical,Single,35,0,0,USA,1
23,Female,Other,HS Grad,Private,Education,Single,40,0,0,China,0
47,Female,Hispanic,HS Grad,Private,Clerical,Married,39,0,0,USA,0
66,Female,White,Some College,Unemployed,Clerical,Single,0,450,0,USA,0
28,Male,White,PhD,Private,Sales,Married,37,2167,0,USA,1
33,Other,Hispanic,Bachelor's,Private,Clerical,Single,38,0,0,Other,1
41,Female,White,Associate,Private,Sales,Single,40,2305,0,USA,1
33,Female,White,Some College,Private,Management,Divorced,55,270,0,USA,1
21,Female,White,Some College,Private,Tech,Married,19,0,0,Canada,1
40,Other,Other,Some College,Private,Education,Married,42,0,0,USA,1
27,Male,Black,Associate,Government,Tech,Single,29,0,0,Mexico,1
45,Male,Hispanic,Some College,Government,Healthcare,Single,49,0,0,USA,1
28,Male,White,HS Grad,Private,Clerical,Single,28,0,308,Canada,0
58,Male,Black,HS Grad,Private,Education,Single,55,0,0,Other,0
30,Male,Black,Associate,Private,Sales,Married,49,310,0,China,0
36,Male,White,Associate,Private,Management,Married,46,2581,0,USA,1
49,Female,Black,No HS,Private,Healthcare,Divorced,50,0,0,USA,0
25,Female,White,Bachelor's,Private,Blue Collar,Divorced,48,0,0,USA,1
42,Other,Black,Bachelor's,Private,Clerical,Single,43,0,0,USA,1
55,Male,Other,Associate,Private,Tech,Single,46,0,0,USA,0
20,Female,Asian,Associate,Private,Education,Single,22,0,0,Germany,1
42,Male,White,HS Grad,Private,Management,Divorced,44,0,0,USA,1
43,Female,White,Master's,Private,Sales,Single,41,0,244,USA,1
49,Male,White,HS Grad,Private,Sales,Married,53,8586,0,USA,0
25,Male,White,HS Grad,Private,Blue Collar,Married,48,0,0,USA,0
24,Male,Asian,Associate,Private,Clerical,Single,33,0,4151,Germany,1
46,Male,White,Some College,Private,Management,Married,60,0,0,USA,1
43,Male,White,Master's,Private,Management,Single,48,1889,0,Germany,1
43,Female,White,Some College,Private,Tech,Married,35,0,0,USA,1
44,Female,White,HS Grad,Private,Clerical,Widowed,25,0,0,USA,1
31,Male,White,Master's,Private,Management,Married,38,208,0,USA,1
42,Female,Black,Some College,Government,Healthcare,Divorced,47,0,0,Mexico,1
43,Male,White,Some College,Private,Education,Single,36,0,1889,USA,1
31,Female,Asian,Some College,Government,Healthcare,Single,29,0,0,USA,1
62,Female,White,Bachelor's,Self-Employed,Clerical,Married,60,0,0,China,1
45,Male,Hispanic,HS Grad,Government,Tech,Single,19,0,0,USA,1
25,Female,Other,No HS,Private,Clerical,Single,43,0,0,Other,1
47,Female,White,Some College,Private,Education,Married,26,0,0,Canada,0
28,Female,Hispanic,Master's,Self-Employed,Tech,Married,45,0,0,Mexico,1
49,Male,Black,HS Grad,Private,Clerical,Divorced,58,0,572,USA,0
53,Female,White,HS Grad,Private,Healthcare,Married,31,0,0,USA,1
30,Other,Black,Associate,Private,Sales,Married,47,0,0,USA,0
51,Female,White,Bachelor's,Private,Clerical,Married,49,0,0,USA,0
44,Female,White,Some College,Private,Education,Married,42,0,0,USA,1
49,Male,White,Bachelor's,Unemployed,Clerical,Married,0,0,0,India,0
62,Female,Hispanic,HS Grad,Government,Management,Married,43,0,0,USA,1
37,Female,White,Some College,Private,Healthcare,Single,41,0,0,Germany,1
30,Female,White,Some College,Unemployed,Education,Divorced,0,0,0,USA,0
29,Male,White,Some College,Private,Healthcare,Single,36,0,941,USA,1
30,Female,Black,HS Grad,Private,Healthcare,Married,34,0,0,USA,0
39,Male,White,Some College,Private,Sales,Married,26,0,0,USA,1
44,Male,Hispanic,No HS,Private,Tech,Divorced,28,0,0,USA,1
43,Male,White,Associate,Government,Education,Widowed,36,1870,0,China,1
49,Female,White,Associate,Self-Employed,Tech,Married,54,0,0,USA,1
40,Female,Asian,Some College,Private,Blue Collar,Single,24,0,0,India,0
57,Male,White,Some College,Unemployed,Education,Married,0,0,0,USA,0
36,Male,Asian,Some College,Private,Healthcare,Married,32,0,0,India,1
70,Female,White,Master's,Private,Healthcare,Divorced,33,0,0,USA,1
47,Male,White,Associate,Private,Blue Collar,Married,52,0,0,Germany,1
29,Female,White,Associate,Self-Employed,Tech,Single,34,0,0,China,1
27,Male,White,HS Grad,Government,Healthcare,Married,28,2889,0,USA,1
45,Male,Black,No HS,Private,Education,Married,44,0,0,USA,0
37,Male,White,No HS,Private,Sales,Married,43,0,0,India,0
48,Male,White,Some College,Private,Tech,Married,46,0,1700,USA,0
45,Female,White,Associate,Government,Healthcare,Married,39,3166,0,USA,0
39,Male,White,Bachelor's,Unemployed,Clerical,Divorced,0,0,0,China,0
29,Female,White,Associate,Private,Healthcare,Married,44,0,0,USA,1
21,Female,White,Master's,Private,Blue Collar,Single,43,0,0,USA,1
34,Male,Other,No HS,Private,Blue Collar,Single,26,0,0,USA,0
50,Male,White,Bachelor's,Private,Healthcare,Married,29,4392,181,Germany,1
42,Male,Hispanic,Associate,Private,Education,Single,32,285,0,USA,0
25,Male,Black,HS Grad,Unemployed,Clerical,Single,0,0,43,India,0
42,Male,Asian,Associate,Private,Healthcare,Single,46,0,0,USA,1
44,Male,White,Some College,Self-Employed,Blue Collar,Married,32,0,445,USA,0
29,Male,White,Some College,Private,Education,Single,41,0,0,USA,0
41,Female,White,HS Grad,Government,Healthcare,Single,47,0,0,Mexico,0
40,Female,White,Some College,Private,Management,Married,40,1664,367,USA,0
26,Female,White,HS Grad,Private,Healthcare,Single,48,0,0,USA,1
44,Male,White,No HS,Private,Sales,Married,31,0,0,China,0
46,Male,White,Bachelor's,Self-Employed,Clerical,Single,46,0,37,Canada,1
52,Male,Asian,Some College,Private,Clerical,Married,34,6315,708,India,1
52,Male,White,Some College,Self-Employed,Sales,Single,38,0,0,China,0
23,Female,White,Some College,Self-Employed,Education,Married,44,7295,0,USA,0
28,Female,White,Bachelor's,Private,Tech,Single,57,0,0,USA,1
46,Male,White,Some College,Government,Healthcare,Widowed,42,0,0,USA,1
46,Female,White,Some College,Private,Tech,Married,31,0,0,USA,1
46,Male,Asian,Bachelor's,Government,Blue Collar,Single,40,0,0,USA,1
70,Female,Black,HS Grad,Private,Education,Married,46,322,0,USA,0
46,Male,White,Associate,Government,Blue Collar,Married,38,0,308,USA,1
53,Other,White,Some College,Self-Employed,Blue Collar,Married,45,0,416,USA,0
51,Female,White,Some College,Private,Blue Collar,Widowed,29,0,0,USA,1
47,Female,White,Bachelor's,Private,Clerical,Married,49,0,0,USA,1
36,Female,Asian,PhD,Private,Management,Single,34,0,0,USA,1
49,Male,Asian,Bachelor's,Government,Management,Married,37,0,588,USA,1
30,Male,White,HS Grad,Unemployed,Tech,Single,0,0,0,USA,0
37,Male,Other,HS Grad,Private,Tech,Single,33,0,0,USA,1
34,Female,White,Some College,Private,Management,Married,52,0,0,USA,1
40,Female,White,Associate,Private,Tech,Married,34,4097,0,Canada,1
67,Other,Black,Some College,Private,Management,Single,40,0,0,USA,1
18,Male,White,Master's,Private,Tech,Divorced,39,0,0,Other,1
48,Male,White,No HS,Private,Clerical,Single,40,0,0,Germany,1
20,Other,White,HS Grad,Self-Employed,Management,Single,44,0,0,Other,0
34,Female,Black,HS Grad,Private,Tech,Single,51,11321,0,Mexico,1
53,Male,White,Associate,Government,Sales,Single,42,0,0,USA,1
40,Female,Hispanic,Some College,Private,Tech,Married,35,0,0,USA,1
27,Male,White,No HS,Government,Blue Collar,Single,34,0,0,USA,1
31,Male,White,Bachelor's,Private,Blue Collar,Divorced,54,0,0,USA,1
48,Male,Black,Some College,Government,Sales,Married,10,0,0,USA,0
31,Male,White,HS Grad,Government,Tech,Single,31,0,0,USA,1
42,Other,White,HS Grad,Private,Blue Collar,Married,10,1483,0,Mexico,0
40,Female,White,Master's,Government,Clerical,Single,49,0,0,Mexico,1
32,Male,Black,Master's,Private,Blue Collar,Married,46,0,0,USA,1
65,Other,White,No HS,Private,Healthcare,Divorced,60,0,0,USA,0
47,Male,White,HS Grad,Private,Blue Collar,Married,36,0,0,USA,1
18,Female,Other,Associate,Self-Employed,Healthcare,Divorced,20,0,0,USA,0
42,Male,White,Associate,Private,Management,Single,43,0,0,USA,1
32,Male,Black,Some College,Private,Clerical,Single,28,0,335,USA,1
50,Male,Black,Some College,Private,Tech,Single,29,0,0,USA,1
30,Male,White,Associate,Government,Clerical,Single,29,0,0,USA,1
38,Male,White,Master's,Private,Clerical,Married,42,0,0,USA,1
46,Male,White,Associate,Private,Healthcare,Single,47,0,0,Other,1
50,Male,White,HS Grad,Government,Education,Married,31,5087,344,USA,1
25,Female,White,Associate,Self-Employed,Education,Married,39,0,0,USA,0
35,Female,White,No HS,Self-Employed,Education,Single,38,0,0,Canada,0
34,Male,Black,Some College,Private,Clerical,Married,45,0,999,USA,0
32,Female,White,Some College,Self-Employed,Sales,Single,28,0,1917,USA,1
61,Male,White,Bachelor's,Private,Management,Single,31,0,0,Mexico,1
44,Male,Asian,No HS,Self-Employed,Sales,Single,28,0,0,USA,0
24,Male,White,Bachelor's,Private,Clerical,Married,24,6923,0,USA,1
51,Male,White,Associate,Private,Healthcare,Married,48,0,0,USA,1
65,Female,White,No HS,Private,Clerical,Divorced,56,0,0,USA,1
52,Female,White,HS Grad,Private,Sales,Single,43,0,0,USA,1
21,Male,White,No HS,Government,Tech,Married,44,0,0,USA,1
34,Other,Asian,Bachelor's,Private,Sales,Married,30,807,0,USA,0
55,Male,Black,HS Grad,Government,Blue Collar,Single,32,0,0,India,1
31,Male,Black,No HS,Private,Healthcare,Single,42,0,0,USA,0
45,Female,White,HS Grad,Private,Blue Collar,Single,60,287,0,Mexico,0
49,Female,Black,Some College,Government,Tech,Married,34,7074,0,USA,1
28,Male,Asian,Some College,Private,Education,Divorced,34,8949,0,USA,1
39,Other,White,HS Grad,Private,Management,Divorced,34,0,0,Other,1
18,Female,Black,Master's,Private,Management,Single,40,0,0,Other,1
27,Male,Other,Bachelor's,Private,Management,Divorced,43,0,0,USA,1
36,Male,Hispanic,Some College,Private,Management,Divorced,48,0,0,India,1
25,Male,White,Some College,Private,Healthcare,Married,43,0,0,USA,1
59,Male,White,Some College,Private,Education,Married,35,0,0,Mexico,1
22,Male,White,Bachelor's,Private,Blue Collar,Married,41,0,0,USA,1
34,Female,White,Some College,Private,Clerical,Divorced,37,0,0,USA,0
41,Female,White,Some College,Private,Clerical,Married,44,0,0,USA,1
57,Female,Black,Some College,Unemployed,Tech,Divorced,0,0,0,USA,0
22,Male,White,Bachelor's,Private,Sales,Married,35,0,0,USA,0
53,Female,White,Some College,Government,Blue Collar,Single,55,0,231,Germany,0
40,Male,Hispanic,Bachelor's,Government,Management,Single,35,0,0,USA,1
28,Female,Black,No HS,Private,Management,Single,47,0,0,Mexico,0
45,Male,White,Master's,Government,Blue Collar,Single,50,0,0,USA,0
42,Male,White,Bachelor's,Private,Healthcare,Divorced,38,0,0,USA,1
32,Male,Black,Bachelor's,Private,Tech,Married,35,0,0,USA,1
40,Female,White,HS Grad,Private,Healthcare,Single,28,0,0,USA,1
35,Female,White,HS Grad,Private,Sales,Married,48,0,0,USA,0
41,Female,White,PhD,Private,Clerical,Single,54,0,0,USA,1
47,Female,Asian,Master's,Government,Management,Married,42,0,0,USA,1
59,Female,White,HS Grad,Private,Education,Single,50,0,0,USA,1
25,Male,White,Some College,Private,Blue Collar,Married,47,0,0,USA,1
65,Male,Asian,HS Grad,Private,Healthcare,Single,24,0,3453,USA,0
18,Female,White,HS Grad,Private,Tech,Married,35,0,0,Canada,0
38,Male,White,HS Grad,Private,Education,Divorced,36,0,0,USA,0
47,Male,Black,No HS,Private,Healthcare,Married,43,0,417,USA,1
43,Female,Black,Some College,Private,Healthcare,Single,35,0,450,Germany,0
32,Male,White,HS Grad,Private,Clerical,Divorced,43,11782,1135,Other,1
37,Male,White,PhD,Government,Clerical,Married,40,6154,253,Mexico,1
34,Female,White,Some College,Private,Sales,Married,38,0,0,USA,1
32,Female,White,Some College,Government,Clerical,Married,50,0,0,USA,0
50,Male,White,Master's,Private,Management,Divorced,35,0,0,USA,1
44,Male,Other,Associate,Private,Education,Married,35,0,0,USA,1
31,Male,Black,HS Grad,Private,Education,Divorced,44,18578,0,Canada,1
50,Female,White,Some College,Government,Healthcare,Married,37,1934,465,USA,0
43,Female,White,Some College,Private,Tech,Single,25,0,0,Other,0
49,Female,White,Bachelor's,Private,Tech,Divorced,39,0,0,Mexico,1
47,Male,Asian,Associate,Private,Management,Married,35,0,1491,USA,0
30,Male,Hispanic,Some College,Self-Employed,Education,Single,37,0,325,USA,0
33,Female,White,Some College,Private,Sales,Divorced,40,0,0,USA,1
48,Male,Black,Some College,Private,Blue Collar,Single,34,57,467,USA,0
47,Female,White,Some College,Private,Sales,Married,25,0,0,USA,1
39,Male,White,HS Grad,Private,Sales,Married,30,0,843,USA,0
41,Male,White,Master's,Private,Clerical,Married,40,763,0,USA,1
55,Male,White,Associate,Private,Education,Married,46,0,0,USA,0
32,Male,White,Some College,Private,Healthcare,Single,36,0,0,USA,1
46,Female,White,Some College,Private,Sales,Married,31,0,0,USA,1
37,Other,Black,HS Grad,Government,Tech,Married,37,0,0,USA,1
37,Male,White,Some College,Private,Blue Collar,Single,38,4845,0,USA,1
53,Female,Black,Associate,Government,Sales,Single,40,0,0,USA,1
49,Male,Hispanic,Some College,Self-Employed,Management,Single,47,0,0,Other,1
49,Female,White,Some College,Self-Employed,Education,Married,49,2808,0,USA,0
55,Male,White,Some College,Self-Employed,Education,Single,34,6822,0,USA,0
40,Female,White,Bachelor's,Self-Employed,Blue Collar,Divorced,60,2476,0,USA,1
48,Male,Hispanic,Bachelor's,Private,Healthcare,Divorced,55,0,0,India,1
36,Female,Asian,Bachelor's,Government,Clerical,Single,58,0,0,India,1
43,Male,White,HS Grad,Private,Tech,Single,27,3693,0,USA,1
38,Male,White,Associate,Private,Healthcare,Married,40,0,0,India,1
41,Male,White,Bachelor's,Government,Education,Married,51,0,1670,USA,1
47,Male,White,Some College,Private,Blue Collar,Divorced,42,0,0,USA,1
30,Male,Hispanic,Bachelor's,Private,Education,Married,37,0,0,USA,1
65,Female,Asian,Bachelor's,Government,Management,Married,45,0,234,USA,0
27,Male,White,HS Grad,Private,Healthcare,Married,41,0,0,India,0
25,Male,White,Some College,Private,Healthcare,Married,27,0,0,Germany,1
53,Male,Black,Associate,Private,Sales,Divorced,34,1912,0,USA,1
49,Female,White,HS Grad,Unemployed,Management,Single,0,1496,917,USA,0
47,Female,White,Master's,Private,Tech,Divorced,40,0,0,USA,1
47,Male,White,HS Grad,Private,Blue Collar,Married,12,0,0,USA,0
39,Female,Hispanic,Some College,Private,Management,Widowed,28,14096,0,USA,1
29,Female,Black,PhD,Private,Education,Married,51,0,0,Other,1
40,Other,White,HS Grad,Private,Tech,Widowed,33,0,0,USA,1
31,Male,White,Some College,Private,Blue Collar,Married,57,4567,26,USA,1
51,Male,Black,Some College,Government,Education,Married,52,7014,0,USA,1
38,Female,Hispanic,Bachelor's,Private,Blue Collar,Married,44,0,0,USA,1
30,Male,White,Some College,Self-Employed,Blue Collar,Single,40,1697,0,USA,1
36,Other,Asian,HS Grad,Private,Management,Single,43,0,365,USA,1
44,Female,White,Master's,Private,Tech,Single,50,0,0,USA,1
33,Male,Asian,Some College,Private,Blue Collar,Divorced,21,0,123,USA,1
30,Male,White,Associate,Private,Clerical,Married,29,0,0,USA,1
42,Male,White,HS Grad,Private,Sales,Divorced,49,0,0,USA,0
42,Male,White,HS Grad,Private,Education,Married,35,0,625,USA,0
33,Male,Black,Bachelor's,Private,Management,Single,46,0,0,Other,0
34,Male,White,No HS,Private,Clerical,Single,42,0,0,Other,1
42,Female,White,Some College,Private,Sales,Married,25,0,0,USA,0
22,Male,White,Bachelor's,Private,Blue Collar,Divorced,47,0,0,USA,1
23,Female,Asian,Some College,Self-Employed,Management,Married,40,2548,0,USA,0
31,Male,Asian,Associate,Government,Blue Collar,Single,28,0,0,USA,0
37,Male,White,No HS,Private,Clerical,Married,56,0,0,USA,0
43,Female,White,Associate,Government,Education,Single,44,0,0,Other,1
57,Female,White,HS Grad,Private,Education,Single,57,0,0,USA,1
50,Female,White,Bachelor's,Private,Sales,Married,28,0,0,USA,1
38,Female,White,Some College,Unemployed,Tech,Married,0,0,0,USA,0
39,Female,White,Associate,Private,Clerical,Single,18,0,377,USA,1
27,Female,Other,HS Grad,Government,Education,Widowed,37,3077,0,USA,1
39,Male,White,Some College,Private,Blue Collar,Married,51,2906,0,USA,1
36,Female,White,Bachelor's,Private,Sales,Married,42,0,372,USA,1
43,Female,White,Master's,Self-Employed,Healthcare,Single,32,0,0,USA,1
30,Male,White,HS Grad,Private,Blue Collar,Married,21,0,776,USA,0
46,Male,White,Bachelor's,Private,Management,Single,50,0,972,USA,1
58,Male,White,HS Grad,Private,Healthcare,Divorced,36,28526,0,USA,1
38,Female,White,Some College,Private,Healthcare,Married,42,0,0,USA,1
44,Male,White,Master's,Private,Blue Collar,Single,24,5573,0,USA,1
48,Female,White,Master's,Self-Employed,Management,Single,43,0,0,Other,1
35,Female,White,HS Grad,Private,Tech,Single,38,0,0,Canada,1
42,Female,White,HS Grad,Private,Healthcare,Married,35,0,0,USA,0
40,Female,Black,HS Grad,Private,Blue Collar,Single,32,0,0,USA,0
41,Female,Hispanic,Some College,Private,Blue Collar,Married,45,4351,0,China,0
30,Female,Black,No HS,Private,Blue Collar,Married,50,0,0,USA,1
40,Female,White,Some College,Private,Sales,Married,23,0,0,USA,1
45,Male,Hispanic,No HS,Private,Management,Divorced,40,0,0,USA,0
57,Female,White,HS Grad,Private,Healthcare,Married,41,0,0,USA,0
51,Male,White,Master's,Private,Tech,Married,48,0,0,Canada,1
65,Female,White,Some College,Private,Education,Married,53,0,0,USA,1
30,Male,Hispanic,No HS,Government,Tech,Married,59,0,566,USA,0
50,Male,White,Associate,Private,Management,Married,34,0,1377,Mexico,1
42,Female,Hispanic,Master's,Private,Sales,Married,60,0,0,USA,1
66,Male,Asian,Some College,Private,Tech,Widowed,16,0,209,Canada,1
30,Female,Asian,Associate,Self-Employed,Sales,Single,48,0,0,USA,1
29,Female,White,Master's,Private,Tech,Married,28,0,0,Canada,1
32,Female,White,Some College,Government,Education,Married,46,0,0,Mexico,1
18,Male,Hispanic,Associate,Private,Clerical,Single,29,261,1105,Other,1
33,Male,Other,Some College,Government,Clerical,Married,49,0,0,USA,1
30,Male,Hispanic,Master's,Government,Sales,Widowed,42,0,0,USA,1
41,Female,Other,Some College,Private,Education,Widowed,30,0,0,Canada,1
44,Female,Hispanic,Bachelor's,Private,Tech,Single,35,0,0,USA,1
62,Female,Black,Some College,Private,Sales,Single,51,0,0,Canada,1
51,Female,White,Associate,Government,Healthcare,Single,44,0,0,USA,1
33,Female,Hispanic,Some College,Private,Blue Collar,Single,40,0,819,UK,0
29,Male,White,Master's,Self-Employed,Education,Married,31,10432,0,USA,1
45,Male,White,Associate,Private,Tech,Widowed,37,713,0,USA,0
24,Male,Hispanic,No HS,Government,Tech,Single,53,0,0,USA,0
